id,food_name,price,area,counter,tags,time,,备注,
,可乐（杯）,1.6,学二食堂,饮料柜台,"杯装, 可乐","早餐,  正餐",,,
,雪碧（杯）,1.6,学二食堂,饮料柜台,"杯装, 雪碧","早餐,  正餐",,,
,七喜（杯）,1.6,学二食堂,饮料柜台,"杯装, 七喜","早餐,  正餐",,,
,美年达（杯）,1.6,学二食堂,饮料柜台,"杯装, 美年达","早餐,  正餐",,,
,可乐（瓶）,3,优购超市,饮料柜台,"瓶装, 含糖, 可乐","早餐,  正餐",,,
,无糖可乐（瓶）,3,优购超市,饮料柜台,"瓶装, 无糖, 可乐","早餐,  正餐",,,
,雪碧（瓶）,3,优购超市,饮料柜台,"瓶装, 雪碧","早餐,  正餐",,,
,七喜（瓶）,3,优购超市,饮料柜台,"瓶装, 七喜","早餐,  正餐",,,
,美年达（橙味瓶）,3,优购超市,饮料柜台,"瓶装, 美年达, 橙","早餐,  正餐",,,
,美年达（葡萄味瓶）,3,优购超市,饮料柜台,"瓶装, 美年达, 葡萄","早餐,  正餐",,,
,红茶,3,优购超市,饮料柜台,"瓶装, 红茶","早餐,  正餐",,,
,绿茶,3,优购超市,饮料柜台,"瓶装, 绿茶","早餐,  正餐",,,
,鲜橙多,3,优购超市,饮料柜台,"瓶装, 橙","早餐,  正餐",,,
,柚子茶,3,优购超市,饮料柜台,"瓶装, 柚子, 茶","早餐,  正餐",,,
,茉莉清茶,3,优购超市,饮料柜台,"瓶装, 茉莉, 茶","早餐,  正餐",,,
,茉莉蜜茶,3,优购超市,饮料柜台,"瓶装, 茉莉, 茶","早餐,  正餐",,,
,果粒橙,3.5,优购超市,饮料柜台,"瓶装, 橙","早餐,  正餐",,,
,脉动,3.5,优购超市,饮料柜台,"瓶装, 脉动, 电解质","早餐,  正餐",,,
,营养快线,4,优购超市,饮料柜台,"瓶装, 营养快线","早餐,  正餐",,,
,农夫果园,3.5,优购超市,饮料柜台,"瓶装, 果汁","早餐,  正餐",,,
,王老吉（瓶）,5,优购超市,饮料柜台,"瓶装, 凉茶","早餐,  正餐",,,
,加多宝（瓶）,5,优购超市,饮料柜台,"瓶装, 凉茶","早餐,  正餐",,,
,雀巢咖啡（瓶）,6,优购超市,饮料柜台,"瓶装, 咖啡","早餐,  正餐",,,
,海之言,4,优购超市,饮料柜台,轻饮,"早餐,  正餐",,, 
,农夫山泉,1.5,优购超市,饮料柜台,水,"早餐,  正餐",,,
,东方树叶（茉莉）,4,优购超市,饮料柜台,"茉莉, 茶","早餐,  正餐",,,
,东方树叶（普洱）,4,优购超市,饮料柜台,"普洱, 茶","早餐,  正餐",,,
,冰糖雪梨,3,优购超市,饮料柜台,梨,"早餐,  正餐",,,
,九龙斋,4,优购超市,饮料柜台,酸梅汤,"早餐,  正餐",,,
,维他命水（树莓味）,4,优购超市,饮料柜台,树莓味,"早餐,  正餐",,,
,维他命水（柑橘味）,4,优购超市,饮料柜台,柑橘味,"早餐,  正餐",,,
,维他命水（乳酸菌味）,4,优购超市,饮料柜台,乳酸菌,"早餐,  正餐",,,
,青梅绿茶,3,优购超市,饮料柜台,青梅绿茶,"早餐,  正餐",,,
,水溶C100（青皮橘味）,4.5,优购超市,饮料柜台,"维生素, 青皮橘味","早餐,  正餐",,,
,水溶C100（柠檬味）,4.5,优购超市,饮料柜台,"维生素, 柠檬味","早餐,  正餐",,,
,绿豆冰沙,3,优购超市,饮料柜台,"绿豆, 冷饮","早餐,  正餐",,,
,圣祥酸奶,2.5,优购超市,饮料柜台,酸奶,"早餐,  正餐",,,
,和其正,6,优购超市,饮料柜台,凉茶,"早餐,  正餐",,,
,早餐奶,2,优购超市,饮料柜台,"袋装, 牛奶","早餐,  正餐",,,
,纯牛奶,2,优购超市,饮料柜台,"袋装, 牛奶","早餐,  正餐",,,
,高钙奶,2,优购超市,饮料柜台,"袋装, 牛奶","早餐,  正餐",,,
,优酸乳,2.5,优购超市,饮料柜台,"盒装, 乳饮料","早餐,  正餐",,,
,大果粒,7.2,优购超市,饮料柜台,"盒装, 酸奶","早餐,  正餐",,,
,畅轻,7.5,优购超市,饮料柜台,"瓶装, 乳酸菌","早餐,  正餐",,,
,每益添,6.5,优购超市,饮料柜台,"瓶装, 乳酸菌","早餐,  正餐",,,
,益消桶（原味）,6.5,优购超市,饮料柜台,酸奶,"早餐,  正餐",,,
,益消桶（红枣）,6.5,优购超市,饮料柜台,"红枣, 酸奶","早餐,  正餐",,,
,冰露,1,优购超市,饮料柜台,水,"早餐,  正餐",,,
,酸梅汤,3,优购超市,饮料柜台,酸梅汤,"早餐,  正餐",,,
,统一酸梅汤（盒装）,1.5,优购超市,饮料柜台,"盒装, 酸梅汤","早餐,  正餐",,,
,统一茉莉蜜茶（盒装）,1.5,优购超市,饮料柜台,"盒装, 茉莉, 茶","早餐,  正餐",,,
,统一苏打水（盒装）,1.5,优购超市,饮料柜台,"盒装, 苏打水","早餐,  正餐",,,
,奶茶（杯）,1.8,学二食堂,饮料柜台,"杯装, 奶茶","早餐,  正餐",,,
,咖啡（杯）,1.8,学二食堂,饮料柜台,"杯装, 咖啡","早餐,  正餐",,,
,果珍（杯）,1.8,学二食堂,饮料柜台,"杯装, 果珍, 橙","早餐,  正餐",,,
