id,food_name,price,area,counter,tags,time,,备注
,清汤面,7,合一三楼,面面俱到,,正餐,,
,鸡蛋面,7,合一三楼,面面俱到,,正餐,,
,兰州牛肉拉面,7,合一三楼,面面俱到,,正餐,,
,豆腐汤面,8,合一三楼,面面俱到,,正餐,,
,牛肉烩面,10,合一三楼,面面俱到,,正餐,,
,麻辣牛肉面,11,合一三楼,面面俱到,,正餐,,
,金汤肥牛面,14,合一三楼,面面俱到,,正餐,,
,酸菜猪肚面,14,合一三楼,面面俱到,,正餐,,
,鸡蛋刀削面,8,合一三楼,面面俱到,,正餐,,
,肉末刀削面,9,合一三楼,面面俱到,,正餐,,
,牛肉刀削面,10,合一三楼,面面俱到,,正餐,,
,臊子刀削面,10,合一三楼,面面俱到,,正餐,,
,排骨刀削面,11,合一三楼,面面俱到,,正餐,,
,原味双皮奶,4,合一三楼,小小饮吧,,正餐,,
,红豆双皮奶,5,合一三楼,小小饮吧,,正餐,,
,椰果双皮奶,5,合一三楼,小小饮吧,,正餐,,
,芒果双皮奶,5,合一三楼,小小饮吧,,正餐,,
,草莓双皮奶,5,合一三楼,小小饮吧,,正餐,,
,抹茶双皮奶,5,合一三楼,小小饮吧,,正餐,,
,巧克力双皮奶,5,合一三楼,小小饮吧,,正餐,,
,橙汁,3.5,合一三楼,小小饮吧,,正餐,,
,柠檬水,3.5,合一三楼,小小饮吧,,正餐,,
,菠萝汁,4,合一三楼,小小饮吧,,正餐,,
,芒果汁,4,合一三楼,小小饮吧,,正餐,,
,菊花茶,4,合一三楼,小小饮吧,,正餐,,
,苹果猕猴桃,4,合一三楼,小小饮吧,,正餐,,
,草莓汁,5,合一三楼,小小饮吧,,正餐,,
,黑加仑汁,6,合一三楼,小小饮吧,,正餐,,
,椰汁西米露,6,合一三楼,小小饮吧,,正餐,,
,经典奶茶,3.5,合一三楼,小小饮吧,,正餐,,
,炭烧咖啡,5,合一三楼,小小饮吧,,正餐,,
,可可奶,6,合一三楼,小小饮吧,,正餐,,
,香蕉奶,6,合一三楼,小小饮吧,,正餐,,
,珍珠奶茶,7,合一三楼,小小饮吧,,正餐,,
,红豆奶茶,7,合一三楼,小小饮吧,,正餐,,
,仙草奶茶,7,合一三楼,小小饮吧,,正餐,,
,椰果奶茶,7,合一三楼,小小饮吧,,正餐,,
,西米奶茶,7,合一三楼,小小饮吧,,正餐,,
,柚子茶,7,合一三楼,小小饮吧,,正餐,,
,芒果酸奶,8,合一三楼,小小饮吧,,正餐,,
,木瓜酸奶,8,合一三楼,小小饮吧,,正餐,,
,火龙果酸奶,8,合一三楼,小小饮吧,,正餐,,
,牛油果酸奶,8,合一三楼,小小饮吧,,正餐,,
,猕猴桃酸奶,8,合一三楼,小小饮吧,,正餐,,
,红西柚茶,10,合一三楼,小小饮吧,,正餐,,
,百香果茶,10,合一三楼,中式饭团,,正餐,,
,奶茶三兄弟,10,合一三楼,中式饭团,,正餐,,
,铁板炒饭,12,合一三楼,中式饭团,,正餐,,
,肉松饭团,6,合一三楼,中式饭团,,正餐,,
,鸡柳饭团,6.5,合一三楼,中式饭团,,正餐,,
,热狗饭团,6.5,合一三楼,中式饭团,,正餐,,
,火腿饭团,6.5,合一三楼,中式饭团,,正餐,,
,蟹柳饭团,6.5,合一三楼,中式饭团,,正餐,,
,培根饭团,6.5,合一三楼,中式饭团,,正餐,,
,鸡排饭团,7,合一三楼,中式饭团,,正餐,,
,鳗鱼丝饭团,7,合一三楼,中式饭团,,正餐,,
,鸡柳,2,合一三楼,中式饭团,,正餐,,
,热狗,2,合一三楼,中式饭团,,正餐,,
,火腿,2,合一三楼,中式饭团,,正餐,,
,蟹柳,2,合一三楼,中式饭团,,正餐,,
,培根,2,合一三楼,中式饭团,,正餐,,
,肉松,2,合一三楼,中式饭团,,正餐,,
,鸡排,3,合一三楼,中式饭团,,正餐,,
,鳗鱼丝,3,合一三楼,中式饭团,,正餐,,
,鱼丸一锅鲜,13,合一三楼,一锅鲜,,正餐,,
,鱼豆腐一锅鲜,12,合一三楼,一锅鲜,,正餐,,
,培根一锅鲜,13,合一三楼,一锅鲜,,正餐,,
,牛丸一锅鲜,13,合一三楼,一锅鲜,,正餐,,
,火腿一锅鲜,12,合一三楼,一锅鲜,,正餐,,
,素煮馍,10,合一三楼,一锅鲜,,正餐,,
,火腿煮馍,13,合一三楼,一锅鲜,,正餐,,
,笋尖煮馍,13,合一三楼,一锅鲜,,正餐,,
,培根煮馍,14,合一三楼,一锅鲜,,正餐,,
,小鲜肉煮馍,14,合一三楼,一锅鲜,,正餐,,
,蒜蓉油菜,3,合一三楼,营养套餐,,正餐,,
,尖椒豆皮,3,合一三楼,营养套餐,,正餐,,
,韭菜黑豆丝,4,合一三楼,营养套餐,,正餐,,
,西芹腐竹,4,合一三楼,营养套餐,,正餐,,
,蚂蚁上树,4,合一三楼,营养套餐,,正餐,,
,太阳丸子,4,合一三楼,营养套餐,,正餐,,
,剁椒鸡蛋,5,合一三楼,营养套餐,,正餐,,
,鲜蘑肉片,5,合一三楼,营养套餐,,正餐,,
,鱼香肉丝,5,合一三楼,营养套餐,,正餐,,
